Term (Spanish),Term (English),Agency,Submitted By,Abbr / Acronym - Spanish,Abbr / Acronym - English,Topic,Subtopic,Definition - Spanish,Definition - English,Notes - Spanish,Notes - English,Plain Language - Spanish,Plain language - English,Related entry - English,Preferred use - Spanish,Anglicism,Forbidden term,Context - Spanish,Region - Spanish,Gr. Gender,Gr. Number,Part of speech - Spanish,Variants - Spanish,Source - Spanish
análisis secuencial,sequential analysis ,FDA,FDA,,,Health,Food MPM,,"A sampling plan whereby units of a sample are examined sequentially in groups and a decision is made to pass, reject, or continue analysis based on the cumulative findings for the sample after each group is examined. A high percentage of rejects leads to early rejection, and a low percentage to early acceptance.",,,,,,,,,,,,,,,
analito,analyte,FDA,FDA,,,,,,The part of the sample that the test is designed to find or measure. Example: A home pregnancy test measures human chorionic gonadotropin (hCG) in urine. The analyte is hCG.,,,,,,,,,,,,,,,
analizar,consider,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
ancho,extensive,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
anemia aplásica,aplastic anemia,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
anemia aplásica grave (AAG),severe aplasic anemia,NIH,NIH,,SAA,Health,,,,,,,,,,,,,,,,,,
anemia drepanocítica,"sickle cell anemia,sickle cell disease",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
anencefalia,anencephaly,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
anestesiado,numb,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
anfotericina,amphotericin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
anfotericina B,amphotericin B,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
angiografía,angiogram,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
angiografía con fluoresceína,fluorescein angiography,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
angiopatía amiloidea cerebral,cerebral amyloid angiopathy,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
angiostrongiliasis,angiostrongyliasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ángulo esplénico del colon,splenic flexure,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
angustia,distress,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
anidulafungina,anidulafungin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
animal de producción,food animal,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
anoftalmía,anophthalmia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
anomalía,condition,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
anomalías congénitas externas mayores,major external congenital anomalies,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
anormalidad de la línea media superior de la pared abdominal,upper midline abdominal wall abnormality,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
anotia,anotia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
anoxia,anoxia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
anquilostoma humano,human hookworm,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ansiedad,"anxiety,distress","CDC,NIA","CDC, NIA",,,"Health,Health",,,,,,,,,,,,,,,,,,
antagonista opioide,opioid antagonist,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antagonistas del TNFA,TNF-a antagonists,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antecedentes,history | past history,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
antepié,forefoot,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antiarrítmico,antiarrhythmic,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antibiograma,antibiotic sensitivity test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antibióticos de amplio espectro,broad-spectrum antibiotics,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antibióticos de espectro reducido,narrow-spectrum antibiotics,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
anticoagulante,blood thinner,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
anticuerpo,antibody,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
anticuerpos monoclonales,monoclonal antibodies,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antidepresivo tricíclico,tricyclic antidepressant,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antifibrinolítico,antifibrinolytic,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antígeno,antigen,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antígeno carciembrionario,carcinoembryonic antigen,NIH,NIH,ACE,CEA,Health,,,,,,,,,,,,,,,,,,
antígeno CD4,CD4 antigen,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antígeno de superficie del virus de la hepatitis B,hepatitis B surface antigen,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antígeno leucocitario humano,human leukocyte antigen,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antígeno leucocitario humano (ALH),human leukocyte antigen ,NIH,NIH,,HLA,Health,,,,,,,,,,,,,,,,,,
antígeno prostático específico,prostate-specific agent,"NIH,CDC","NIH, CDC",APE,PSA,Health,,,,,,,,,,,,,,,,,,
antihistamínicos,antihistamines,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antimonio,antimony,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antirretroviral,antiretroviral,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
antitoxina,antitoxin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
antracita,anthracite,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ántrax maligno (carbunco),anthrax,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
anular,"reverse,revoke",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
anuncio,advertisement,FDA,FDA,,,Health,Drug Advertising,,"Federal law treats advertisements and promotional labeling differently. Advertisements generally appear in:
Print periodicals, such as journals, magazines, and newspapers
Broadcast media, such as television and radio, as well as through telephone systems",,,,,,,,,,,,,,,
anuncios,advertisements,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
Anuncios directos al consumidor,Direct-to-Consumer Advertisements,FDA,FDA,,DTC,Health,Drug Advertising,,"DTC ads are published in magazines and newspapers that are distributed to a general audience rather than to healthcare providers such as doctors, nurses, and pharmacists. DTC ads can also be broadcast through television or radio. Other types of materials, such as brochures, booklets, or pamphlets distributed to patients, caregivers, or other non-healthcare providers are considered DTC promotions. While many people would think these are ads, they are technically considered a different category, called promotional labeling.",,,,,,,,,,,,,,,
aorta (AO),aorta,NIH,NIH,,AO,Health,,,,,,,,,,,,,,,,,,
aparato cardiovascular,cardiovascular system,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
aparato circulatorio,cardiovascular system,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
aparato de ortodoncia,braces,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aparato digestivo,digestive system,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
aparato genital,genital tract,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aparato genitourinario,urogenital system,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aparato locomotor,musculoskeletal system,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aparato reproductor,reproductive system,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aparato respiratorio,respiratory system,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aparatos auditivos,hearing aid ,FDA,FDA,,,,,,,,,,,,,,,,,,,,,
aparecer,develop,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aparición de enfermedades,occurrences of illnesses,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
aparición de la enfermedad,disease onset,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
apariencia,appearance,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aparte de*,other than,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
apatía,apathy,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
apertura de la válvula mitral (AVM),mitral valve opening ,NIH,NIH,,MVO,Health,,,,,,,,,,,,,,,,,,
aplanar la curva,flatten the curve,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aplicabilidad,eligibility,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
aplicación de la norma a discreción de la autoridad,Enforcement Discretion,FDA,FDA,,,Health,Food Industry,,,,"Not on the regulations but used by the Agency on communications, the guidance documents and the preambles",,,,,,,,,,,,,
aplicador,applicator,FDA,FDA,,,Health,Cosmetics,,,,,,,,,,,,,,,,,
aplicar,"""Apply for a job, or a license, etc.""",NIA,NIA,,,Health,,,,,,,,,Alternative,checked,,,,,,,,
apnea del sueño,sleep apnea,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aportar,"contribute,deliver",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
apoyo sicológico,counseling,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aprobación,approval,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
aprobación provisional,tentative approval ,FDA,FDA,,,Health,Drugs,,"If a generic drug product is ready for approval before the expiration of any patents or exclusivities accorded to the reference listed drug product, FDA issues a tentative approval letter to the applicant. The tentative approval letter details the circumstances associated with the tentative approval. FDA delays final approval of the generic drug product until all patent or exclusivity issues have been resolved. A tentative approval does not allow the applicant to market the generic drug product.",,,,,,,,,,,,,,,
apropiado,appropriate,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aproximadamente 0.5 l,pint,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aptitud,eligibility,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
Aptitud laboral,Fitness for Duty,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
apto,"candidate,eligible","NIH,NIA","NIH, NIA",,,"Health,Health",,,,,,,,,,,,,,,,,,
"arándanos, congelados","""Blueberries, frozen""",USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
árbol filogenético,phylogenetic tree,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Archivo de la FDA,FDA Archive,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
ardor,burning,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
ardor en el estómago,heartburn,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Área de escasez de profesionales de la salud,Health Professional Shortage Area ,HRSA,HRSA,,HPSA,,,,,,,,,,,,,,,,,,,
Área de servicio,Service Area,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
Área médicamente desatendida,Medically Underserved Area,HRSA-BPHC,HRSA-BPHC,,MUA,,,,,,,,,,,,,,,,,,,
Área/población médicamente desatendida,Medically Underserved Area/Population ,HRSA,HRSA,,MUA/P,,,,,,,,,,,,,,,,,,,
Áreas metropolitanas elegibles,Eligible Metropolitan Areas ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Áreas transicionales de subvención,Transitional Grant Areas ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
arenavirus,arenaviruses,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
arenisca,sandstone,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
argileh,argileh,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
ARN mensajero,"messenger RNA,mRNA",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
ARN no replicativo,non-replicating RNA,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ARNm (mRNA),"messenger RNA,mRNA",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
arroyo o torrentera,,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
arteria humeral,brachial artery,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
arteriografía,arteriogram,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Arteriopatía cerebral autosómica dominante con infartos subcorticales y leucoencefalopatía,Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL) ,NIA,NIA,,CADASIL,Health,,,,,,,,,,,,,,,,,,
arteriopatía coronaria,coronary artery disease,CDC,"FDA, CDC",,CAD,Health,,,,,,,,,,,,,,,,,,
arteritis de células gigantes,giant cell arteritis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
articulación tibioastragalina,tibiotalar joint,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
artículo/alimento,"item/food item,section","USDA-FNS,FDA",USDA-FNS,,,"Health,Health",Tobacco,,According to context. Use Artículo when related to a law.,,,,,,,,,,,,,,,
Artículos para el consumidor,Consumer  Articles,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
artralgia,arthralgia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
artritis gotosa,gouty arthritis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
artritis idiopática juvenil,juvenile idiopathic arthritis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
artritis reumatoide,rheumatoid arthritis,CDC,"FDA, CDC",,RA,Health,,,,,,,,,,,,,,,,,,
artrogriposis múltiple congénita,arthrogryposis multiplex congenita,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
artrópodos,arthropoda,FDA,FDA,,,Health,Food MPM,,"A phylum consisting of invertebrate animals. In the adult form, arthropods are characterized by paired, segmented legs, an exoskeleton, and segmented bodies. Certain immature and/or parasitic forms lack some or all of these characteristics.",,,,,,,,,,,,,,,
artrosis,osteoarthritis,CDC,CDC,,OA,Health,,,,,,,,,,,,,,,,,,
Asamblea Legislativa,Legislative Branch /National Assembly,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
asbestosis,asbestosis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Ascaris,Ascaris,CDC,CDC,,,Health,,,,This term should be in italics if it is written with upper case A.,,,,,,,,,,,,,,
ascitis,ascites,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
asesora de lactancia,lactation support provider,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
asesoría genética,genetic counseling,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
asfixia,choking,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
asiento,basis,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,Alternative,,,,,,,,,
asimismo,additionally,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
asistencia,care,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
Asistencia Temporal para Familias Necesitadas,Temporary Assistance to Needy Families,CDC,CDC,TANF,TANF,Health,,,,,,,,,,,,,,,,,,
asistente médico,medical assistant,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
asistir,assist,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
asistir un parto,deliver,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
asma,asthma,CDC,CDC,,,Health,disease,"El asma es una enfermedad que afecta los pulmones. Es una de las enfermedades de duración prolongada más comunes en los niños, aunque los adultos también pueden padecerla. El asma causa sibilancias, dificultad para respirar, opresión en el pecho y tos durante la noche o temprano por la mañana. Si usted tiene asma, tendrá la enfermedad todo el tiempo, pero sufrirá ataques solamente cuando algo afecte sus pulmones.","Asthma is a disease that affects your lungs. It is one of the most common long-term diseases of children, but adults can have asthma, too. Asthma causes wheezing, breathlessness, chest tightness, and coughing at night or early in the morning. If you have asthma, you have it all the time, but you will have asthma attacks only when something bothers your lungs.",,source for English definition: https://www.cdc.gov/asthma/faqs.htm#what,,,,,,,,,Masculine,Singular,Noun,,https://www.cdc.gov/asthma/es/faqs.htm
Asociación Americana del Dolor Crónico,American Chronic Pain Association,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
Asociación Craneofacial Infantil,Children’s Craniofacial Association,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Asociación de la ATSDR para Promover las Iniciativas Localizadas de Reducción de las Exposiciones Ambientales,,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
Asociación del Síndrome de Tourette de los Estados Unidos,Tourette Association of America,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Asociación Internacional de Consultores de Lactancia,International Lactation Consultant Association,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Asociación Nacional de Centros de Salud Comunitarios,National Association of Community Health Centers,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Asociación Nacional de Funcionarios de Salud de Condados y Ciudades,"NACCHO,National Association of County and City Health Officials",CDC,CDC,,NACCHO,"Health,Health",,,,,,,,,,,,,,,,,,
asociado médico (physician assistant),,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
asombroso,dramatically,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aspartato-transaminasa (AST),aspartate aminotransferase ,NIH,NIH,,AST,Health,,,,,,,,,,,,,,,,,,
aspecto,appearance,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aspecto clínico,Clinical feature,HRSA-BPHC,HRSA-BPHC,,,Health,,,,,,,,,Alternative,,,,,,,,,
aspergiloma,aspergilloma,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aspergilosis,aspergillosis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aspiración,suction,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
astigmatismo,astigmatism,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
astrágalo,talus,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
asunto,Issue,FDA,FDA,,,Health,Food Industry,,,,depend context,,,,,,,,,,,,,
ataxia,ataxia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ataxia cerebelosa,cerebellar ataxia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
atelectasia pulmonar,collapse of a lung,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
atención,care,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
atención ambulatoria,outpatient care,FDA,FDA,,,Health,Drug Development,,"Se refiere a una persona que recibe tratamiento o participa en un estudio, pero no pasa ninguna noche hospitalizado. ",,,,,,,,,,,,,,,
atención médica especializada,tertiary care,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Atención primaria para residentes viviendas públicas,Public Housing Primary Care,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
atención y educación de la primera infancia,early care and education,CDC,CDC,AEPI,ECE,Health,,,,,,,,,,,,,,,,,,
atetoide,athetoid,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
atomizador,atomizer,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
atracina,atrazine,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
atragantamiento,choking,"NIH,NIA,USDA-FNS","NIH, NIA, USDA-FNS",,,Health,,,,,,,,,,,,Commonly used term in the food industry,,,,,,
atresia,atresia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
atresia coanal,choanal atresia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
atresia de coanas,atresia choanae,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
atresia esofágica,esophageal atresia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
atresia pulmonar,pulmonary atresia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
atresia tricuspídea,tricuspid atresia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
atributo,attribute,FDA,FDA,,,Health,Drug Development,,"An attribute is a feature or characteristic of a medical product=E2=80=94such as efficacy or effectiveness, safety, means of administration, duration of effect, or duration of use=E2=80=94that may affect benefit-risk considerations.",,,,,,,,,,,,,,,
atrofia del tejido cerebral,atrophy of brain tissue,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
atropina,atropine,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
audífonos,hearing aid,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
auditor calificado,qualified auditor,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
auditor externo acreditado,Accredited Third-Party Auditor,FDA,FDA,,,Health,Food Industry,,,,auditor tercero acreditado,,,,,,,,,,,,,
auditores acreditados,accredited auditors,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Auditores Externos,Third-Party Auditors,FDA,FDA,,,Health,Food Industry,,,,auditores terceros,,,,,,,,,,,,,
auditoria de consulta,Consultative Audit,FDA,FDA,,,Health,Food Industry,,referring to one of the two kinds of audits by accredited auditors under this program,,,,,,,,,,,,,,,
auditoria regulatoria,regulatory audit,FDA,FDA,,,Health,Food Industry,,referring to one of the two kinds of audits by accredited auditors under this program,,,,,,,,,,,,,,,
auditorías de inocuidad alimentaria,food safety audits,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
aumentar,Increase,USDA-FNS,USDA-FNS,,,Health,,,,,Internal translation for consistency and to be easy to understand.,,,,,,,,,,,,,
aurícula izquierda (AI),left atrium ,NIH,NIH,,LA,Health,,,,,,,,,,,,,,,,,,
ausencia congénita del hemidiafragma,congenital absent hemidiaphragm,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
auspiciadores,sponsors,FDA,FDA,,,Health,Drug Development,,"Los ensayos clínicos son auspiciados o financiados por diversas organizaciones o individuos, entre ellos médicos, fundaciones, instituciones médicas, grupos de voluntarios y empresas farmacéuticas, así como organismos federales tales como los NIH, la FDA, el Departamento de Defensa y el Departamento de Asuntos de los Veteranos.",,,,,,,,,,,,,,,
autoaislamiento,self-isolation,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
autoclave,autoclave,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
autoinoculación,autoinoculation,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
autólogo,autologous,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
automonitoreo,self-monitoring,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
autonomía,autonomy,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
autoprueba,self-test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
autopsia cerebral,brain autopsy,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
autoridad competente,competent authority,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
autoridad de aprobación,approval authority,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
Autoridad de Investigación y Desarrollo Biomédico Avanzado,"BARDA,Biomedical Advanced Research and Development Authority",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
autoridad escolar de alimentos,school food authority,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Autoridades de Comida Escolar,School Food Authorities ,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
autorización de comercialización,market authorization,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
autorización de novo,de novo authorization,FDA,FDA,,,Health,Drugs,,,,,,,,,,,,,,,,,
Autorización de Uso de Emergencia,Emergency Use Authorization,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
autoselección,self-selection,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Autoverificador del Coronavirus,Coronavirus Self-Checker,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
auxiliar de enfermería (practical nurse),,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
auxiliares de salud a domicilio,home health aides,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
avanzar,develop,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
avanzar en el sentido de…,progress,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
avibactam,avibactam,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Aviso de adjudicación,Notice of Awards,HRSA-BPHC,HRSA-BPHC,,NOA,,,,,,,,,,,,,,,,,,,
Aviso de designación como organización semejante,Notice of Look-alike Designation,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
Aviso de información de políticas,Policy Information Notices,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
aviso de salud para viajeros,travel health notice,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aviso previo de la reglamentación propuesta,advance notice of proposed rulemaking,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
Aviso y acuse de recibo de la política de información,Notice and Acknowledgement of Information Practices consent,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
axón,axon,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
ayudar,assist,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
azida sódica,sodium azide,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
azinfos metil,azinphos methyl,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
azitromicina,azithromycin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
azlocilina,azlocillin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
azoles,azoles,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
aztreonam,aztreonam,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
BAAR,AFB,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
babesiosis,babesiosis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
bacilo de Calmette y Guérin,bacille Calmette-Guérin,CDC,CDC,BCG,BCG,Health,,,,,,,,,,,,,,,,,,
